f0ac0f1e-33a8-11ee-8656-0242ac120002,Toyota,Camry,2022,Sedan,"White, Silver, Black",Gasoline,Automatic,135,"28,500",4.5/5,"1,500"
f0c0e650-33a8-11ee-8656-0242ac120002,Ford,F-150,2023,Truck,"Blue, Red, Gray",Gasoline,Automatic,145,"45,900",4.8/5,"2,200"
f0d6d2da-33a8-11ee-8656-0242ac120002,Honda,Civic,2023,Sedan,"Black, Blue, Silver",Gasoline,CVT,120,"22,950",4.6/5,"2,800"
f0ea1502-33a8-11ee-8656-0242ac120002,Chevrolet,Tahoe,2023,SUV,"Red, White, Gray",Gasoline,Automatic,130,"53,250",4.7/5,"1,000"
f13e0126-33a8-11ee-8656-0242ac120002,Tesla,Model 3,2023,Sedan,"Blue, Red, Silver",Electric,Automatic,140 (est.),"49,990",4.9/5,"4,500"
f15260ee-33a8-11ee-8656-0242ac120002,Nissan,Rogue,2023,SUV,"Green, Black, White",Gasoline,CVT,115,"27,850",4.6/5,"2,100"
f166ad1a-33a8-11ee-8656-0242ac120002,BMW,X5,2022,SUV,"Black, Gray, Blue",Gasoline,Automatic,155,"62,700",4.7/5,"1,300"
f17b035a-33a8-11ee-8656-0242ac120002,Hyundai,Sonata,2023,Sedan,"Red, Silver, White",Gasoline,Automatic,130,"28,450",4.8/5,"2,000"
f18e9b7c-33a8-11ee-8656-0242ac120002,Ford,Mustang,2023,Coupe,"Yellow, Black, Red",Gasoline,Manual,180,"42,850",4.9/5,"1,800"
f1a1e916-33a8-11ee-8656-0242ac120002,Toyota,RAV4,2023,SUV,"Blue, Silver, Green",Gasoline,Automatic,120,"29,350",4.5/5,"2,500"
f1b51216-33a8-11ee-8656-0242ac120002,Audi,A4,2023,Sedan,"White, Gray, Black",Gasoline,Automatic,130,"39,900",4.6/5,"2,300"
f1c80d44-33a8-11ee-8656-0242ac120002,GMC,Sierra,2023,Truck,"Red, Black, White",Gasoline,Automatic,140,"51,250",4.7/5,"1,000"
f1d9b684-33a8-11ee-8656-0242ac120002,Honda,CR-V,2023,SUV,"Gray, Blue, Silver",Gasoline,CVT,130,"31,450",4.8/5,"2,700"
f1eb5b8c-33a8-11ee-8656-0242ac120002,Subaru,Outback,2023,Wagon,"Green, Black, Gray",Gasoline,CVT,130,"30,895",4.6/5,"1,200"
f1fc5644-33a8-11ee-8656-0242ac120002,Chevrolet,Camaro,2023,Coupe,"Red, Black, Yellow",Gasoline,Automatic,190,"65,590",4.9/5,"1,000"
f20efe84-33a8-11ee-8656-0242ac120002,Ford,Escape,2023,SUV,"Blue, White, Gray",Gasoline,Automatic,135,"28,895",4.7/5,"2,600"
f2235230-33a8-11ee-8656-0242ac120002,Mazda,CX-5,2023,SUV,"Red, Silver, Black",Gasoline,Automatic,129,"30,545",4.8/5,"2,300"
f236a0e2-33a8-11ee-8656-0242ac120002,Kia,Sorento,2023,SUV,"Silver, Black, Blue",Gasoline,Automatic,126,"32,350",4.6/5,"1,500"
f24a3eae-33a8-11ee-8656-0242ac120002,Mercedes,C-Class,2023,Sedan,"Black, Blue, White",Gasoline,Automatic,155,"42,600",4.8/5,"1,200"
f25dcb86-33a8-11ee-8656-0242ac120002,Jeep,Wrangler,2023,SUV,"Gray, Green, Red",Gasoline,Automatic,125,"38,950",4.7/5,"1,800"
f27131b2-33a8-11ee-8656-0242ac120002,Volkswagen,Jetta,2023,Sedan,"White, Black, Silver",Gasoline,Automatic,130,"22,495",4.6/5,"2,500"
f2851182-33a8-11ee-8656-0242ac120002,Volvo,XC60,2023,SUV,"Silver, White, Gray",Gasoline,Automatic,140,"45,450",4.9/5,"1,000"
f297473a-33a8-11ee-8656-0242ac120002,Subaru,Forester,2023,SUV,"Black, Red, Blue",Gasoline,CVT,120,"26,995",4.6/5,"2,400"
f2ab2156-33a8-11ee-8656-0242ac120002,Toyota,Highlander,2023,SUV,"White, Silver, Black",Gasoline,Automatic,115,"36,085",4.7/5,"1,900"
f2bec2d8-33a8-11ee-8656-0242ac120002,Ford,Explorer,2023,SUV,"Red, Black, Gray",Gasoline,Automatic,130,"37,775",4.8/5,"1,800"
f2d0af5c-33a8-11ee-8656-0242ac120002,Chevrolet,Corvette,2023,Coupe,"Red, Black, White",Gasoline,Automatic,190,"67,590",4.9/5,"1,300"
f2e0f3a8-33a8-11ee-8656-0242ac120002,Ford,Expedition,2023,SUV,"Blue, White, Silver",Gasoline,Automatic,120,"54,500",4.8/5,800
f2f180d8-33a8-11ee-8656-0242ac120002,Hyundai,Tucson,2023,SUV,"Silver, Gray, Black",Gasoline,Automatic,126,"27,500",4.6/5,"1,500"
f303b92e-33a8-11ee-8656-0242ac120002,GMC,Yukon,2023,SUV,"Black, White, Gray",Gasoline,Automatic,120,"51,850",4.7/5,"1,200"
f314f93c-33a8-11ee-8656-0242ac120002,Audi,Q5,2023,SUV,"Gray, Blue, Black",Gasoline,Automatic,135,"43,200",4.8/5,"1,400"
f328be18-33a8-11ee-8656-0242ac120002,Kia,Telluride,2023,SUV,"Black, Gray, White",Gasoline,Automatic,130,"38,500",4.7/5,"1,800"
f33a5baa-33a8-11ee-8656-0242ac120002,Mercedes,GLC-Class,2023,SUV,"White, Black, Silver",Gasoline,Automatic,140,"43,900",4.9/5,"1,200"
f34acc4c-33a8-11ee-8656-0242ac120002,Jeep,Grand Cherokee,2023,SUV,"Gray, Red, Blue",Gasoline,Automatic,130,"36,750",4.7/5,"1,600"
f35ea6a4-33a8-11ee-8656-0242ac120002,Volkswagen,Taos,2023,SUV,"Silver, Blue, Black",Gasoline,Automatic,124,"23,900",4.7/5,"2,300"
